月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,31.0,18.5,7.5,3.0,17.7,20.5,14.3,22.3,11.5,///,///,5.8,12.9,北東,17.5,北北西,///,///,///,///
1,中旬,30.5,17.5,14.0,6.5,19.4,22.1,16.8,23.8,11.5,///,///,6.0,11.7,東,14.4,北西,///,///,///,///
1,下旬,14.0,11.5,9.5,7.0,17.3,20.4,14.0,23.2,11.4,///,///,5.7,12.3,北,17.0,北北西,///,///,///,///
2,上旬,8.5,6.0,5.5,2.0,17.2,20.1,13.8,23.1,10.0,///,///,5.6,14.0,北,19.5,北西,///,///,///,///
2,中旬,10.0,8.5,6.0,3.0,18.8,22.0,15.2,23.6,11.7,///,///,3.9,10.1,北北西,14.4,西北西,///,///,///,///
2,下旬,0.5,0.5,0.5,0.5,21.1,23.9,18.6,25.1,12.2,///,///,5.5,11.3,北,14.4,北,///,///,///,///
3,上旬,1.5,1.0,1.0,0.5,20.1,23.0,18.2,25.1,15.5,///,///,7.2,12.9,東,15.4,東,///,///,///,///
3,中旬,10.0,4.0,4.0,2.0,18.9,22.2,16.1,24.1,12.6,///,///,5.6,14.9,北北西,20.6,北北西,///,///,///,///
3,下旬,1.0,1.0,1.0,1.0,21.6,24.7,19.6,26.1,17.0,///,///,5.2,10.5,南南東,12.9,南南東,///,///,///,///
4,上旬,5.0,4.0,2.5,2.0,22.7,25.5,20.8,27.3,19.1,///,///,6.4,13.8,南東,16.5,南東,///,///,///,///
4,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
4,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
5,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
5,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
5,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
6,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
7,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
8,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
9,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
10,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
11,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,上旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,中旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
12,下旬,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
