月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
1,上旬,1016.1,1018.6,37.5,30.5,9.5,4.5,17.3,20.6,13.0,22.3,9.7,67,43,4.3,10.1,北西,18.0,北北西,40.2,10.0,,,,,0 ),0 ),0
1,中旬,1014.6,1017.0,46.5,31.0,28.5,15.5,18.7,22.0,14.5,23.7,10.2,68,40,3.8,8.2,北北西,15.3,北北西,55.3,12.3,,,,,0 ),0 ),0
1,下旬,1018.9,1021.4,13.0,6.5,6.0,3.5,16.5,20.6,11.8,22.9,8.3,67,43,3.9,9.8,北,17.5,北,49.4,11.8,,,,,0,0,0
2,上旬,1018.9,1021.4,8.5,6.5,6.5,5.5,16.4,20.2,11.6,23.4,7.1,68,40,4.0,12.2,北西,20.9,北西,46.8,12.4,,,,,0 ),0 ),0 )
2,中旬,1017.1,1019.5,22.0,18.0,17.0,9.5,17.9,22.4,13.2,24.7,9.6,71,40,2.7,8.0,北,14.8,北北西,69.6,16.0,,,,,0 ),0 ),0 )
2,下旬,1012.9,1015.3,0.5,0.5,0.5,0.5,20.8,24.0,17.7,25.5,9.8,75,48,3.6,8.6,北北西,15.1,北北西,47.0,16.0,,,,,0,0,0
3,上旬,1015.0,1017.4,5.5,3.0,2.0,2.0,19.7,23.1,17.0,24.8,12.7,68,40,4.7,8.7,北西,14.6,北,45.4,15.7,,,,,0 ],0 ],0
3,中旬,1015.8,1018.3,17.0,14.0,9.5,4.0,18.5,22.3,14.2,24.9,11.8,65,40,4.0,12.2,北北西,21.2,北北西,70.1,18.8,,,,,0 ),0 ),0
3,下旬,1012.5,1014.9,0.0,0.0,0.0,0.0,21.5,25.0,18.9,26.3,14.6,78,37,3.9,10.0,南南東,13.6,南,81.6,20.6,,,,,0 ),0 ),0
4,上旬,1011.5,1013.9,8.0,4.0,3.5,1.5,22.5,25.6,20.3,27.3,14.8,83,50,4.8,9.5,南南東,14.6,南南東,58.6,18.5,,,,,0,1,0
4,中旬,1010.1 ),1012.5 ),0.0 ),0.0 ),0.0 ),0.0 ),23.7 ),26.9 ),21.6 ),27.7 ),20.3 ),84 ),57 ),3.3 ),7.8 ),東,12.4 ),東,56.4 ),20.4 ),,,,,0 ),2 ),0 ]
4,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
